datediff,longitude,latitude,Mg
1.37 ,121.7,24.2,5.8
0.00 ,121.1,22,5.3
8.40 ,121.4,22.2,5.1
0.83 ,121.4,22.5,5
0.10 ,121,21.7,5.2
0.20 ,120.8,21.4,6.1
1.17 ,121.1,23.3,5.9
0.43 ,122,24.2,5.6
0.23 ,122.3,25,5.4
1.20 ,122.5,24.1,5.1
0.37 ,122.3,24.1,5.7
1.43 ,120.5,23,5.1
0.43 ,120,21.5,5.4
0.00 ,122.2,24.5,6.3
0.00 ,122.1,24.5,5.6
0.03 ,122.5,24.4,6.2
0.00 ,122.5,24.1,7
0.00 ,122.5,24.1,5.7
0.30 ,122.5,24.1,5.1
0.10 ,120.8,21.4,5.1
3.43 ,121.7,24.8,7
0.13 ,118.5,23,7.3
0.03 ,118.5,22.8,5.1
0.47 ,121.6,23,5.2
0.50 ,121.6,23.4,5.9
0.30 ,118.5,22.8,5.3
0.40 ,122.2,24.8,6.1
0.20 ,118.8,22.7,5.5
0.33 ,118.6,23.2,5.6
0.57 ,122,24.4,5.3
0.27 ,122.8,24.1,5
0.03 ,118.5,22.4,5.5
0.63 ,118.7,22.5,5.3
1.30 ,121.9,23.4,5.3
0.17 ,118.5,22.7,5.2
0.10 ,121.9,24.2,6.6
0.87 ,120.7,23.3,5
0.33 ,121.8,24.7,5.1
0.03 ,122,24.5,6
0.17 ,122.4,24.1,5
0.53 ,120.7,22.2,5.2
0.27 ,120.1,23,5
0.83 ,121.3,24.4,5
0.93 ,121.3,23,5.9
0.40 ,121.7,24.6,6.2
0.27 ,121.3,23.7,5.1
3.63 ,121.9,24.4,5.7
